,pedestrianCount_sum,assetUid,latitude,longitude,time
147,0,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 06:00:00 2020
148,2,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 05:00:00 2020
149,4,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 04:00:00 2020
150,10,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 03:00:00 2020
151,20,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 02:00:00 2020
152,23,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 01:00:00 2020
153,38,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 00:00:00 2020
154,45,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 23:00:00 2020
155,48,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 22:00:00 2020
156,59,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 21:00:00 2020
157,66,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 20:00:00 2020
158,74,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 19:00:00 2020
159,62,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 18:00:00 2020
160,51,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 17:00:00 2020
161,55,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 16:00:00 2020
162,53,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 15:00:00 2020
163,106,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 14:00:00 2020
164,59,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 13:00:00 2020
165,42,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 12:00:00 2020
166,28,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 11:00:00 2020
167,15,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Fri Jan 24 10:00:00 2020
168,10,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 09:00:00 2020
169,6,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 08:00:00 2020
170,3,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 07:00:00 2020
171,1,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 06:00:00 2020
172,2,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 05:00:00 2020
173,0,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 04:00:00 2020
174,1,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 03:00:00 2020
175,3,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 02:00:00 2020
176,9,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 01:00:00 2020
177,19,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Fri Jan 31 00:00:00 2020
178,11,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 23:00:00 2020
179,28,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 22:00:00 2020
180,16,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 21:00:00 2020
181,36,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 20:00:00 2020
182,40,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 19:00:00 2020
183,29,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 18:00:00 2020
184,37,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 17:00:00 2020
185,32,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 16:00:00 2020
186,43,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 15:00:00 2020
187,53,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 14:00:00 2020
188,20,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 13:00:00 2020
189,32,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 12:00:00 2020
190,17,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 11:00:00 2020
191,24,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 10:00:00 2020
192,10,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 09:00:00 2020
193,7,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 08:00:00 2020
194,3,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 07:00:00 2020
195,3,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 06:00:00 2020
196,2,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 05:00:00 2020
197,2,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 04:00:00 2020
198,2,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 03:00:00 2020
199,2,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 02:00:00 2020
200,13,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 01:00:00 2020
201,6,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Thu Jan 30 00:00:00 2020
202,14,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 23:00:00 2020
203,15,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 22:00:00 2020
204,42,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 21:00:00 2020
205,42,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 20:00:00 2020
206,30,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 19:00:00 2020
207,22,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 18:00:00 2020
208,21,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 17:00:00 2020
209,37,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 16:00:00 2020
210,36,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 15:00:00 2020
211,30,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 14:00:00 2020
212,29,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 13:00:00 2020
213,22,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 12:00:00 2020
214,47,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 11:00:00 2020
215,19,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 10:00:00 2020
216,14,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 09:00:00 2020
217,10,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 08:00:00 2020
218,3,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 07:00:00 2020
219,1,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 06:00:00 2020
220,1,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 05:00:00 2020
221,2,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 04:00:00 2020
222,1,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 03:00:00 2020
223,1,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 02:00:00 2020
224,6,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 01:00:00 2020
225,11,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Wed Jan 29 00:00:00 2020
226,20,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Tue Jan 28 23:00:00 2020
227,30,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Tue Jan 28 22:00:00 2020
228,44,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Tue Jan 28 21:00:00 2020
229,57,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Tue Jan 28 20:00:00 2020
230,46,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Tue Jan 28 19:00:00 2020
231,40,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Tue Jan 28 18:00:00 2020
232,41,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Tue Jan 28 17:00:00 2020
233,42,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Tue Jan 28 16:00:00 2020
234,35,200c0e3b-c1cb-4756-a948-0b12861a3cb1,45.504794,-122.653836,Tue Jan 28 15:00:00 2020
