,Unnamed: 0,Unnamed: 0.1,zipcode,maxNaics_est,totalEstab,maxNaics_emp,totalEmp,year,total_tran,pop,edut,households,income,gini,ratio_65,ratio_22_50,bus_ratio,bus_ratio_total,public_ratio,car_ratio,bicy_ratio,walked_ratio,total_college,college_ratio,college_ratio_pop,diff_MaxtotalEstab,diff_MaxtotalEmp
343,343,25893,92028,23,140,23,1960,2014,49317.0,102889.0,53996.0,2091.0,28497.0,5.2976,0.3904207446860208,0.10668778975400676,0.6450617283950617,0.004237889571547336,0.006569742685078168,0.6917898493420119,0.0020074213759961068,0.17565950889145732,9801.0,0.181513445440403,0.09525799648164526,-7.0,-100.0
344,344,31201,92028,23,147,23,2060,2015,50672.0,103156.0,53635.0,2089.0,28495.0,5.2120000000000015,0.3853193221916321,0.10851525844352244,0.5975,0.004716608778023366,0.007893905904641615,0.6833556994000631,0.0019734764761604037,0.1876184085885696,10210.0,0.1903607718840309,0.09897630772810112,-4.0,110.0
345,345,36509,92028,23,151,23,1950,2016,52615.0,106016.0,54750.0,2110.0,28933.0,5.1488,0.3869227286447329,0.10775731964986417,0.6864406779661016,0.0046184548132661785,0.006728119357597644,0.6886629288225791,0.0013114130951249645,0.18806424023567425,10703.0,0.19548858447488585,0.10095645940235436,-17.0,-250.0
346,346,41817,92028,23,168,23,2200,2017,53952.0,105596.0,55735.0,2051.0,29230.0,5.013,0.3888215462706921,0.11201181862949354,0.6941747572815534,0.005301008303677343,0.007636417556346382,0.7014012455516014,0.002835854092526691,0.18484949584816127,10976.0,0.1969319099309231,0.10394333118678738,0.0,0.0
347,347,4662,92029,23,166,23,5700,2010,19576.0,43904.0,29099.0,1142.0,15442.0,3.5839999999999996,0.3628826530612245,0.13584183673469388,0.4846938775510204,0.004852881078872088,0.010012259910093992,0.8951777686963629,0.002196567225173682,0.016755210461789946,7298.0,0.2507989965290903,0.16622631195335275,-9.0,1030.0
348,348,9970,92029,23,175,23,4670,2011,20237.0,45466.0,30119.0,1122.0,15771.0,3.6517,0.36957286763735536,0.12807372542119386,0.6146341463414634,0.006226219301279834,0.010129959974304492,0.8907446755942087,0.0021742353115580372,0.019024558976132824,7035.0,0.2335734918157973,0.1547310077860379,13.0,0.0
349,349,15278,92029,23,162,23,4670,2012,20481.0,46672.0,30770.0,1141.0,15937.0,3.7137,0.3716575248543024,0.12994943435035994,0.5080213903743316,0.0046384453884087675,0.009130413554025682,0.9016649577657341,0.005126702797714954,0.010351057077291148,7560.0,0.2456938576535587,0.1619814878299623,1.0,470.0
350,350,20586,92029,23,161,23,4200,2013,20587.0,47343.0,31342.0,1145.0,16027.0,3.7245,0.3798449612403101,0.12874131339374353,0.5874439461883408,0.006363238937193374,0.01083207849613834,0.9005197454704426,0.004080244814688882,0.013309369990770877,7494.0,0.2391040775955587,0.15829161650085544,2.0,-470.0
351,351,25894,92029,23,159,23,4670,2014,20625.0,47856.0,31834.0,1166.0,16248.0,3.6863,0.3844032096288866,0.12863590772316952,0.8241758241758241,0.01090909090909091,0.013236363636363636,0.8927030303030303,0.004363636363636364,0.014981818181818181,7680.0,0.2412514921153484,0.160481444332999,5.0,-880.0
352,352,31202,92029,23,154,23,5550,2015,21991.0,47910.0,31968.0,1208.0,16292.0,3.4643,0.3866416197036109,0.1324566896263828,0.7286585365853658,0.010868082397344369,0.014915192578782231,0.8847710426992861,0.0016370333318175615,0.016961484243554183,8038.0,0.2514389389389389,0.16777290753496138,-14.0,-1540.0
353,353,36510,92029,23,168,23,7090,2016,22549.0,47786.0,31775.0,1222.0,16162.0,3.3783,0.3825388189009333,0.1330305947348596,0.5623268698060941,0.009002616524014368,0.016009579138764468,0.8699720608452703,0.0017739145860126836,0.02079914852099872,8270.0,0.26026750590086545,0.17306324027957978,-17.0,1980.0
354,354,41818,92029,23,185,23,5110,2017,22693.0,47716.0,32282.0,1221.0,16214.0,3.4047,0.3789294995389387,0.1424260206220136,0.5418326693227091,0.01198607500110166,0.022121359009386155,0.861455074251972,0.0043185123165733925,0.01877230864143128,8219.0,0.25460008673564216,0.17224830245619918,0.0,0.0
