,zipcode,geo_id,year,pop,households,income,edut,total_college,college_ratio,ratio_65,ratio_22_50,college_ratio_pop,bus_ratio,bus_ratio_total,public_ratio,car_ratio,bicy_ratio,walked_ratio,maxNaics_est,maxNaics_emp,Empratio,estabratio,emp_label,est_label
4652,97233,41051008202,2014,8933.0,169.0,3189.0,5628.0,930.0,0.1652452025586354,0.4505765140490317,0.10511586253218404,0.10410836225232285,0.7304747320061256,0.1097560975609756,0.15025310630464794,0.6767142199723885,0.024160147261849976,0.06258628624022089,62,62,635.0377073906485,44.4419306184012,Medium High,Medium High
4653,97233,41051009201,2014,8160.0,156.0,2653.0,5088.0,637.0,0.12519654088050314,0.41017156862745097,0.08799019607843138,0.07806372549019608,0.6889952153110048,0.1236405266170578,0.17945048654836862,0.6794504865483686,0.0,0.026044647967945048,62,62,1323.740573152338,92.63951734539972,High,High
4654,97233,41051009202,2014,5269.0,149.0,1651.0,3410.0,334.0,0.09794721407624633,0.4644144999051054,0.0799013095464035,0.06338963750237236,0.5819935691318328,0.07330903199675982,0.12596192790603486,0.8144997974888619,0.0,0.04860267314702309,62,62,697.6470588235294,48.82352941176471,Medium High,Medium High
4655,97233,41051009301,2014,6658.0,120.0,2157.0,4267.0,550.0,0.1288961799859386,0.4240012015620305,0.10198257735055573,0.08260738960648843,0.4824120603015075,0.07129595246936501,0.14779056813962124,0.7170441886372075,0.003341997772001485,0.04753063497957668,62,62,304.10256410256414,21.28205128205128,Medium Low,Medium Low
4656,97233,41051009302,2014,4543.0,157.0,1646.0,3013.0,424.0,0.14072353136408894,0.3722209993396434,0.16046665199207572,0.09333039841514418,0.4230769230769231,0.026595744680851064,0.06286266924564797,0.8428433268858799,0.008704061895551255,0.012572533849129592,62,62,8.944193061840119,0.6259426847662142,Low,Low
4657,97233,41051009603,2014,3983.0,118.0,1177.0,2473.0,321.0,0.12980186008896077,0.3816218930454432,0.10720562390158173,0.08059251820236003,0.9204545454545454,0.04636519748139668,0.05037206639954207,0.8712077847738982,0.004579278763594733,0.0,62,62,107.33031674208144,7.511312217194573,Low,Low
4658,97233,41051009604,2014,5483.0,159.0,1870.0,3414.0,272.0,0.07967193907439953,0.4659857742111982,0.06912274302389203,0.049607878898413275,0.5330296127562643,0.10455764075067024,0.1961572832886506,0.7153708668453976,0.0035746201966041107,0.04870420017873101,62,62,661.870286576169,46.31975867269986,Medium High,Medium High
4659,97233,41051009606,2014,5639.0,133.0,1782.0,3419.0,375.0,0.10968119333138344,0.42950877815215466,0.08388012058875688,0.06650115268664657,0.6608040201005025,0.1030564263322884,0.1559561128526646,0.7492163009404389,0.008228840125391849,0.050156739811912224,62,62,402.4886877828054,28.16742081447964,Medium Low,Medium Low
4660,97233,41051009701,2014,5685.0,158.0,1996.0,3772.0,406.0,0.10763520678685047,0.377660510114336,0.10624450307827617,0.07141600703605981,0.6625,0.05057251908396947,0.07633587786259542,0.8015267175572519,0.011450381679389313,0.012404580152671756,62,62,268.3257918552036,18.778280542986426,Medium Low,Medium Low
4661,97233,41051009702,2014,8624.0,141.0,2565.0,5249.0,384.0,0.07315679176986092,0.3701298701298701,0.10227272727272728,0.04452690166975881,1.0,0.10786591437105876,0.10786591437105876,0.8277464321274477,0.009956853634251576,0.011616329239960171,62,62,518.763197586727,36.30467571644042,Medium Low,Medium High
